协变量,匹配前SMD,匹配后SMD,改善
order_amount,0.085,0.0171,0.0679
freight_amount,0.1414,0.0183,0.1231
item_count,0.0631,0.0094,0.0537
distinct_sellers,0.1276,0.0053,0.1223
promised_days,0.2178,0.0095,0.2083
max_installments,0.0324,0.0097,0.0227
max_weight_g,0.0621,0.0105,0.0515
max_volume,0.0358,0.0117,0.0241
seller_late_rate_loo,0.3566,0.0124,0.3442
seller_orders,0.0241,0.0238,0.0003
cross_state,0.2143,0.0006,0.2137
main_payment_type_credit_card,0.0348,0.0449,-0.0101
main_payment_type_debit_card,0.0,0.018,-0.0179
main_payment_type_voucher,0.0262,0.0049,0.0212
customer_state_BA,0.1307,0.0011,0.1296
customer_state_CE,0.099,0.0043,0.0947
customer_state_DF,0.0179,0.0087,0.0092
customer_state_ES,0.0694,0.0031,0.0663
customer_state_GO,0.0009,0.0028,-0.0019
customer_state_MA,0.1002,0.0,0.1002
customer_state_MG,0.13,0.0109,0.1191
customer_state_MS,0.0383,0.0039,0.0344
customer_state_MT,0.0202,0.0016,0.0187
customer_state_OTHER,0.0235,0.0107,0.0128
customer_state_PA,0.0464,0.0216,0.0248
customer_state_PB,0.0274,0.0209,0.0066
customer_state_PE,0.0413,0.017,0.0243
customer_state_PI,0.065,0.004,0.061
customer_state_PR,0.1026,0.0132,0.0893
customer_state_RJ,0.2504,0.0059,0.2445
customer_state_RN,0.0225,0.0144,0.0081
customer_state_RO,0.0398,0.0148,0.025
customer_state_RS,0.0303,0.0062,0.0241
customer_state_SC,0.0445,0.0065,0.038
customer_state_SE,0.0491,0.0203,0.0288
customer_state_SP,0.2665,0.0076,0.2588
customer_state_TO,0.0302,0.0216,0.0086
seller_state_DF,0.0293,0.0145,0.0148
seller_state_ES,0.0096,0.0055,0.0041
seller_state_GO,0.0493,0.0064,0.0429
seller_state_MA,0.0949,0.0038,0.0911
seller_state_MG,0.1053,0.0135,0.0918
seller_state_OTHER,0.0152,0.0051,0.0102
seller_state_PE,0.0386,0.0029,0.0356
seller_state_PR,0.0564,0.0084,0.048
seller_state_RJ,0.0076,0.0,0.0076
seller_state_RS,0.0818,0.0053,0.0765
seller_state_SC,0.0544,0.0294,0.025
seller_state_SP,0.1399,0.0118,0.1281
main_category_air_conditioning,0.0322,0.0042,0.0279
main_category_audio,0.0365,0.0102,0.0264
main_category_auto,0.0153,0.0127,0.0027
main_category_baby,0.026,0.0258,0.0002
main_category_bed_bath_table,0.0286,0.0164,0.0122
main_category_books_general_interest,0.0115,0.0,0.0115
main_category_books_technical,0.0164,0.0023,0.0141
main_category_computers_accessories,0.0173,0.0072,0.0102
main_category_consoles_games,0.0023,0.004,-0.0017
main_category_construction_tools_construction,0.014,0.0044,0.0097
main_category_construction_tools_lights,0.0009,0.0029,-0.002
main_category_cool_stuff,0.0381,0.022,0.0161
main_category_drinks,0.0092,0.0029,0.0063
main_category_electronics,0.0401,0.0107,0.0294
main_category_fashion_bags_accessories,0.0237,0.0155,0.0082
main_category_fashion_shoes,0.013,0.021,-0.008
main_category_food,0.0186,0.0121,0.0065
main_category_food_drink,0.0177,0.0098,0.0079
main_category_furniture_decor,0.0196,0.0113,0.0083
main_category_furniture_living_room,0.0018,0.0062,-0.0044
main_category_garden_tools,0.0001,0.0066,-0.0065
main_category_health_beauty,0.04,0.0134,0.0267
main_category_home_appliances,0.0157,0.0097,0.0061
main_category_home_appliances_2,0.0074,0.0029,0.0044
main_category_home_confort,0.0202,0.0181,0.0022
main_category_home_construction,0.0066,0.0019,0.0047
main_category_housewares,0.0375,0.0121,0.0254
main_category_industry_commerce_and_business,0.0017,0.0213,-0.0196
main_category_kitchen_dining_laundry_garden_furniture,0.0236,0.0036,0.0201
main_category_luggage_accessories,0.0414,0.0049,0.0365
main_category_market_place,0.0228,0.0032,0.0197
main_category_musical_instruments,0.0019,0.0285,-0.0266
main_category_office_furniture,0.0148,0.0151,-0.0003
main_category_perfumery,0.0152,0.0079,0.0073
main_category_pet_shop,0.0362,0.0247,0.0115
main_category_small_appliances,0.0252,0.0059,0.0193
main_category_sports_leisure,0.0125,0.0031,0.0094
main_category_stationery,0.0061,0.0167,-0.0106
main_category_telephony,0.0133,0.0104,0.0028
main_category_toys,0.0165,0.0094,0.0071
main_category_watches_gifts,0.0135,0.0131,0.0004
main_category_未分类,0.0113,0.008,0.0033
purchase_month_2017-02-01,0.1126,0.0036,0.109
purchase_month_2017-03-01,0.0629,0.0081,0.0548
purchase_month_2017-04-01,0.0105,0.0018,0.0087
purchase_month_2017-05-01,0.1418,0.0044,0.1375
purchase_month_2017-06-01,0.1241,0.009,0.1151
purchase_month_2017-07-01,0.1517,0.0122,0.1395
purchase_month_2017-08-01,0.1599,0.002,0.1579
purchase_month_2017-09-01,0.0916,0.0041,0.0875
purchase_month_2017-10-01,0.0945,0.0016,0.0929
purchase_month_2017-11-01,0.2048,0.0188,0.186
purchase_month_2017-12-01,0.008,0.0173,-0.0093
purchase_month_2018-01-01,0.0638,0.0184,0.0454
purchase_month_2018-02-01,0.2477,0.0023,0.2453
purchase_month_2018-03-01,0.3987,0.0316,0.367
purchase_month_2018-04-01,0.1148,0.0052,0.1097
purchase_month_2018-05-01,0.0053,0.0084,-0.003
purchase_month_2018-06-01,0.2951,0.0066,0.2884
purchase_month_2018-07-01,0.1434,0.0037,0.1397
purchase_month_2018-08-01,0.0797,0.0263,0.0534
