特征,增益,占比_pct,归类
days_early,74367.0,62.28,履约表现
item_count,12095.0,10.13,订单与支付
main_category,5063.0,4.24,商品属性
seller_bad_rate_hist,3822.0,3.2,卖家历史
delivery_days,3754.0,3.14,履约表现
customer_state,2637.0,2.21,地理距离
distinct_sellers,2354.0,1.97,订单与支付
seller_handling_hist,1658.0,1.39,卖家历史
seller_orders,1616.0,1.35,卖家历史
freight_amount,1568.0,1.31,订单与支付
freight_ratio,1464.0,1.23,订单与支付
max_volume,1295.0,1.08,商品属性
carrier_transit_days,1248.0,1.05,履约表现
seller_late_rate_hist,1218.0,1.02,卖家历史
order_amount,979.0,0.82,订单与支付
seller_handling_days,960.0,0.8,履约表现
max_weight_g,885.0,0.74,商品属性
promised_days,794.0,0.66,订单与支付
main_payment_type,427.0,0.36,订单与支付
is_late,351.0,0.29,履约表现
seller_state,252.0,0.21,卖家历史
avg_photos,244.0,0.2,商品属性
max_installments,220.0,0.18,订单与支付
cross_state,134.0,0.11,地理距离
used_voucher,11.0,0.01,订单与支付
